years,Objective,Costs,Damages,J,Y,M,I,Harvest,Redsnag,Greysnag,control
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,0.0,0.8
2021,201208.0,194052.0,7156.0,22960906.0,14435982.0,4212612.0,1745.0,646.0,161.0,0.0,0.8
2022,229992.0,215903.0,14089.0,22444158.0,14555326.0,4608739.0,1990.0,1396.0,349.0,161.0,0.85
2023,267234.0,254982.0,12251.0,22040105.0,14587362.0,4979218.0,2214.0,1692.0,299.0,510.0,0.75
2024,224235.0,200521.0,23713.0,21428506.0,14828872.0,5347565.0,2102.0,1660.0,553.0,809.0,0.75
2025,218343.0,198982.0,19361.0,20839923.0,15035203.0,5728226.0,2117.0,1577.0,526.0,1362.0,0.8
2026,231535.0,216013.0,15521.0,20399820.0,15199633.0,6002265.0,2170.0,1694.0,423.0,1888.0,0.9
2027,251180.0,243173.0,8007.0,19902536.0,15346610.0,6350856.0,2193.0,1953.0,217.0,2311.0,0.75
2028,212756.0,192762.0,19994.0,18019521.0,16752104.0,6826652.0,2121.0,1645.0,548.0,2528.0,0.8
2029,206704.0,191191.0,15513.0,17536969.0,16967912.0,7091743.0,2000.0,1697.0,424.0,3077.0,0.75
2030,200758.0,182732.0,18026.0,16866307.0,17340462.0,7388252.0,2105.0,1500.0,500.0,3501.0,0.8
2031,227122.0,212913.0,14209.0,16310961.0,17608218.0,7674256.0,2246.0,1684.0,421.0,4001.0,0.9
2032,251961.0,243638.0,8323.0,15681330.0,18073972.0,7836282.0,2358.0,2022.0,225.0,4422.0,0.9
2033,238005.0,229988.0,8017.0,15090554.0,18389607.0,8109678.0,2244.0,2122.0,236.0,4646.0,0.8
2034,224524.0,208901.0,15623.0,14442721.0,18790530.0,8354822.0,2323.0,1796.0,449.0,4882.0,0.7
2035,150637.0,126519.0,24118.0,13729775.0,19226308.0,8630146.0,1640.0,1626.0,697.0,5331.0,0.7
2036,126371.0,110044.0,16327.0,13084472.0,19645924.0,8854666.0,1489.0,1148.0,492.0,6028.0,0.75
2037,161580.0,151317.0,10263.0,12548687.0,20012692.0,9022731.0,1891.0,1117.0,372.0,6520.0,0.9
2038,202715.0,196798.0,5916.0,11601256.0,20708564.0,9272911.0,2025.0,1702.0,189.0,6892.0,0.75
2039,171579.0,154598.0,16981.0,11089616.0,20985427.0,9506085.0,1969.0,1519.0,506.0,7081.0,0.9
2040,195367.0,188895.0,6472.0,10429502.0,21458228.0,9691816.0,2021.0,1772.0,197.0,7588.0,0.75
2041,173205.0,157246.0,15959.0,9741548.0,21952951.0,9883512.0,2039.0,1516.0,505.0,7785.0,0.8
2042,189444.0,176338.0,13106.0,9149056.0,22311647.0,10115776.0,2156.0,1631.0,408.0,8290.0,0.7
2043,107272.0,85992.0,21280.0,8570086.0,22597844.0,10406837.0,1255.0,1509.0,647.0,8698.0,0.8
2044,159593.0,153029.0,6564.0,7952775.0,22986944.0,10634207.0,1910.0,1004.0,251.0,9345.0,0.75
2045,149855.0,134917.0,14938.0,7215806.0,23502484.0,10854226.0,1841.0,1433.0,478.0,9596.0,0.95
2046,155822.0,152974.0,2848.0,6599045.0,23871785.0,11100319.0,1663.0,1749.0,92.0,10073.0,0.9
2047,179155.0,174228.0,4927.0,6078577.0,24164108.0,11327320.0,1966.0,1497.0,166.0,10165.0,0.85
2048,199938.0,190389.0,9549.0,5477462.0,24510820.0,11580172.0,2316.0,1671.0,295.0,10332.0,0.8
2049,207024.0,192013.0,15011.0,5006433.0,24716532.0,11843631.0,2561.0,1852.0,463.0,10626.0,0.7
2050,121423.0,97623.0,23800.0,4470746.0,24955081.0,12138737.0,1554.0,1793.0,768.0,11090.0,0.75
2051,119906.0,108877.0,11028.0,4076895.0,25065529.0,12421040.0,1606.0,1165.0,388.0,11858.0,0.7
2052,110358.0,96234.0,14124.0,3629922.0,25152372.0,12780044.0,1569.0,1124.0,482.0,12247.0,0.8
2053,145598.0,137038.0,8559.0,3331938.0,25179765.0,13049564.0,1903.0,1256.0,314.0,12728.0,0.85
2054,168292.0,159648.0,8644.0,2889306.0,25339931.0,13330577.0,2140.0,1618.0,285.0,13042.0,0.7
2055,94539.0,76071.0,18467.0,2448891.0,25437425.0,13671919.0,1275.0,1498.0,642.0,13328.0,0.95
2056,124630.0,122986.0,1644.0,2164771.0,25391592.0,14001048.0,1496.0,1212.0,64.0,13970.0,0.75
2057,128472.0,118115.0,10358.0,1846543.0,25439435.0,14270393.0,1850.0,1122.0,374.0,14033.0,0.85
2058,172412.0,164505.0,7907.0,1527763.0,25409230.0,14618106.0,2284.0,1572.0,277.0,14407.0,0.8
2059,158957.0,145715.0,13242.0,1229209.0,25431747.0,14892440.0,2212.0,1827.0,457.0,14685.0,0.8
2060,167861.0,155426.0,12435.0,846380.0,25454383.0,15250962.0,2357.0,1770.0,442.0,15142.0,0.8
2061,164068.0,150424.0,13644.0,626204.0,25378695.0,15545025.0,2325.0,1885.0,471.0,15584.0,0.75
2062,145204.0,128710.0,16494.0,547321.0,25174128.0,15826745.0,2167.0,1743.0,581.0,16055.0,0.85
2063,157642.0,148601.0,9041.0,431669.0,24897487.0,16217448.0,2200.0,1842.0,325.0,16637.0,0.85
2064,164950.0,155675.0,9276.0,314873.0,24688160.0,16541961.0,2333.0,1870.0,330.0,16962.0,0.9
2065,160345.0,153880.0,6465.0,263665.0,24491425.0,16788235.0,2220.0,2100.0,233.0,17292.0,0.7
2066,109489.0,91678.0,17811.0,205987.0,24288023.0,17047723.0,1797.0,1554.0,666.0,17525.0,0.7
2067,70949.0,58178.0,12771.0,179049.0,24021434.0,17340209.0,1149.0,1258.0,539.0,18191.0,0.7
2068,66785.0,59262.0,7523.0,135751.0,23665367.0,17739015.0,1210.0,804.0,345.0,18730.0,0.7
2069,77971.0,70446.0,7525.0,85850.0,23362282.0,18091449.0,1450.0,847.0,363.0,19075.0,0.8
2070,122705.0,116613.0,6092.0,54515.0,23099267.0,18385082.0,2039.0,1160.0,290.0,19438.0,0.85
2071,135176.0,127847.0,7330.0,24746.0,22851017.0,18661771.0,2142.0,1733.0,306.0,19728.0,0.75
2072,104294.0,91462.0,12832.0,19162.0,22556521.0,18960419.0,1776.0,1606.0,535.0,20034.0,0.85
2073,118859.0,112567.0,6293.0,16360.0,22271523.0,19247128.0,1933.0,1510.0,266.0,20569.0,0.9
2074,112711.0,108112.0,4599.0,7625.0,21961216.0,19564952.0,1808.0,1739.0,193.0,20836.0,0.9
2075,119281.0,115251.0,4029.0,2559.0,21649057.0,19881128.0,1932.0,1627.0,181.0,21029.0,0.75
2076,99434.0,88646.0,10787.0,1749.0,21407847.0,20122029.0,1764.0,1449.0,483.0,21210.0,0.75
2077,98627.0,87757.0,10869.0,539.0,21131565.0,20398352.0,1805.0,1323.0,441.0,21692.0,0.95
2078,96761.0,94677.0,2084.0,183.0,20845748.0,20683463.0,1604.0,1715.0,90.0,22134.0,0.75
2079,88396.0,80411.0,7985.0,0.0,20562565.0,20966036.0,1721.0,1203.0,401.0,22224.0,0.75
2080,91058.0,81963.0,9095.0,0.0,20303600.0,21224078.0,1807.0,1291.0,430.0,22625.0,0.8
2081,90703.0,83419.0,7285.0,0.0,20030513.0,21496204.0,1693.0,1446.0,361.0,23055.0,0.85
2082,110875.0,105343.0,5532.0,0.0,19560923.0,21964828.0,2030.0,1439.0,254.0,23417.0,0.75
2083,95045.0,84166.0,10879.0,0.0,19186928.0,22337674.0,1918.0,1523.0,508.0,23671.0,0.75
2084,92581.0,82972.0,9609.0,0.0,18631769.0,22891813.0,1909.0,1438.0,479.0,24178.0,0.8
2085,102066.0,94433.0,7633.0,0.0,18096371.0,23426184.0,1976.0,1527.0,382.0,24658.0,0.8
2086,93556.0,84745.0,8811.0,0.0,17679990.0,23841395.0,1828.0,1581.0,395.0,25039.0,0.8
2087,88610.0,80859.0,7751.0,0.0,17236845.0,24283481.0,1813.0,1463.0,366.0,25435.0,0.75
2088,81535.0,72704.0,8831.0,0.0,15454365.0,26064973.0,1807.0,1360.0,453.0,25800.0,0.8
2089,90571.0,84081.0,6489.0,0.0,15017787.0,26500726.0,1935.0,1445.0,361.0,26253.0,0.75
2090,74348.0,65261.0,9088.0,0.0,14381849.0,27135632.0,1673.0,1452.0,484.0,26615.0,0.8
2091,75465.0,69658.0,5808.0,0.0,13878189.0,27638515.0,1656.0,1338.0,335.0,27099.0,0.85
2092,90331.0,85851.0,4481.0,0.0,13329259.0,28186654.0,1948.0,1408.0,248.0,27433.0,0.85
2093,82221.0,77125.0,5096.0,0.0,12825772.0,28689188.0,1777.0,1656.0,292.0,27682.0,0.85
2094,92861.0,88206.0,4655.0,0.0,12248717.0,29265382.0,2071.0,1511.0,267.0,27974.0,0.75
2095,67363.0,58622.0,8741.0,0.0,11593722.0,29919364.0,1662.0,1553.0,518.0,28240.0,0.7
2096,51155.0,43762.0,7392.0,0.0,11033498.0,30478905.0,1467.0,1163.0,499.0,28758.0,0.8
2097,57899.0,54698.0,3201.0,0.0,10542420.0,30969564.0,1520.0,1173.0,293.0,29257.0,0.9
2098,69898.0,67881.0,2017.0,0.0,9746344.0,31765100.0,1685.0,1368.0,152.0,29550.0,0.8
2099,66041.0,61554.0,4487.0,0.0,9312670.0,32198168.0,1757.0,1348.0,337.0,29702.0,0.85
2100,70574.0,67141.0,3433.0,0.0,8783450.0,32726700.0,1793.0,1493.0,264.0,30039.0,0.85
2101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,0.0,0.7
2021,180014.0,163248.0,16766.0,22960906.0,14435982.0,4212612.0,1486.0,565.0,242.0,0.0,0.8
