years,Objective,Costs,Damages,J,Y,M,I,Harvest,Redsnag,Greysnag,B,B_SDD,I_LDD
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,0.0,4035000.0,0.0,0.0
2021,133296.7535776004,0.0,133296.75357760038,22960906.0,14435982.0,4212612.0,4757.893563948891,0.0,807.0,0.0,17324467.81974444,17324467.81974444,1293.0
2022,939001.3162593603,0.0,939001.3162593604,22444158.0,14552453.698515728,4608598.407920352,6111.242354059379,0.0,4757.893563948891,807.0,24548896.165730465,24036211.77029704,1304.0
2023,1215151.2485289352,0.0,1215151.2485289352,22040105.0,14580551.17165105,4978895.692430942,19418.10598643019,0.0,6111.242354059379,5564.893563948888,91926624.46237552,90795529.93215035,1259.0
2024,4052901.0163484216,0.0,4052901.0163484216,21428506.0,14805939.708088063,5346159.069246672,42956.103378895496,0.0,19418.10598643019,11676.135918008215,209397100.25746605,207910516.89447767,1374.0
2025,8933603.540830312,0.0,8933603.540830312,20839923.0,14973558.666342216,5724698.96937498,71205.66178821414,0.0,42956.103378895496,31094.241904438455,350453137.20675665,349613308.94107103,1283.0
2026,14706035.141721942,0.0,14706035.141721942,20399820.0,15072819.466323208,5994855.509469642,235843.8683319918,0.0,71205.66178821414,74050.34528333363,1175466615.8039315,1173029341.6599662,1238.0
2027,48707523.60339615,0.0,48707523.603396155,19902536.0,15000007.220424654,6329771.895428186,450190.3248719965,0.0,235843.8683319918,145256.00707154803,2252098741.781129,2244946624.3599815,1201.0
2028,90876897.85374184,0.0,90876897.85374184,18019521.0,15998947.388705852,6768437.871046776,1497619.5390550508,0.0,450190.3248719965,381099.8754035397,7597051015.200706,7481582695.275235,1303.0
2029,289850319.24152404,0.0,289850319.24152404,17536969.0,14873281.653064257,6974516.728042435,3259599.9198361514,0.0,1497619.5390550508,831290.2002755381,17416329401.275387,16292119599.180674,1176.0
2030,597362472.0664566,0.0,597362472.0664566,16866307.0,12808819.615108488,7104614.725663356,6969552.3643840095,0.0,3259599.9198361514,2328909.7393305893,41951245931.03028,34841321821.91998,1288.0
2031,1227041435.6926956,0.0,1227041435.6926956,16310961.0,9070529.458086267,7169235.253087196,9986760.871955585,0.0,6969552.3643840095,5588509.65916672,70699532098.6621,49927709359.77756,1219.0
2032,1615696172.2475927,0.0,1615696172.2475932,15681330.0,5730670.188192951,6940518.699471781,19419008.628620595,0.0,9986760.871955585,12558062.023550713,174233926810.01956,97088188143.1029,1371.0
2033,2823404797.317394,0.0,2823404797.317394,15090554.0,2807941.9241330745,6590546.717809934,7288017.080939703,0.0,19419008.628620595,22544822.895506337,98328367619.8437,36434305404.69846,1156.0
2034,849230536.6568662,0.0,849230536.6568662,14442721.0,2085806.3740209488,6517687.544040992,3397748.689759778,0.0,7288017.080939703,41963831.524126954,40559878670.352806,16982138448.798864,1321.0
2035,342130521.38447005,0.0,342130521.38447005,13729775.0,1999175.6112035362,6501193.13969304,7920240.616762718,0.0,3397748.689759778,49251848.60506646,81444712944.13478,39594913083.813545,1258.0
2036,681534780.7851691,0.0,681534780.7851691,13084472.0,1899405.2489444031,6502908.22128329,7523030.444173655,0.0,7920240.616762718,52649597.29482647,120407297676.45453,37608157220.86823,1399.0
2037,592809000.8866457,0.0,592809000.8866457,12548687.0,2029023.0529438064,6512914.797172332,9268795.291516285,0.0,7523030.444173655,60569837.91158883,94305710041.72704,46337391457.581154,1317.0
2038,781654563.4222081,0.0,781654563.422208,11601256.0,2747981.21188803,6515529.242735002,2237614.597626822,0.0,9268795.291516285,68092868.3557626,25858468287.979496,11182117988.134094,1191.0
2039,155288407.6163248,0.0,155288407.6163248,11089616.0,3100128.943026591,6516972.920443297,3927929.084441819,0.0,2237614.597626822,77361663.64727925,35143870071.69166,19633730422.209095,1183.0
2040,248198010.16450647,0.0,248198010.16450647,10429502.0,3627416.659371127,6526403.412850146,5567855.629139422,0.0,3927929.084441819,79599278.24490558,42659947888.39428,27833038145.69719,1248.0
2041,438366571.3790806,0.0,438366571.3790806,9741548.0,4187315.9746294017,6529384.1664867215,7654801.692500347,0.0,5567855.629139422,83527207.32934763,124327718531.89418,38267103462.50174,1381.0
2042,533429864.4666347,0.0,533429864.4666347,9149056.0,4503573.293978419,6549855.545807761,6265661.818597298,0.0,7654801.692500347,89095062.95848697,164958347151.48358,31322359092.98635,1190.0
2043,653472642.4774076,0.0,653472642.4774076,8570086.0,4647617.18539044,6568423.538376973,58889.392516405016,0.0,6265661.818597298,96749864.65098737,368135168.4288177,288171962.58202535,1255.0
2044,6681357.776501844,0.0,6681357.776501844,7952775.0,5227216.693861574,6573500.47648773,156062.30136527948,0.0,58889.392516405016,103015526.46958503,1221278297.5279624,774151506.8263987,1232.0
2045,9295032.482566556,0.0,9295032.482566554,7215806.0,5884421.958016163,6581060.663124781,91308.08523726472,0.0,156062.30136527948,103074415.86210102,600230508.4291416,450310426.186325,1246.0
2046,7590821.690973964,0.0,7590821.6909739645,6599045.0,6461616.820563311,6588480.445616936,49611.670868394875,0.0,91308.08523726472,103230478.1634662,760298208.7717282,242053354.341973,1201.0
2047,5016252.78634066,0.0,5016252.786340661,6078577.0,6944989.602091164,6592001.63040113,164534.6124265117,0.0,49611.670868394875,103321786.24870333,867318486.8321437,816113062.1325562,1312.0
2048,11935213.027021436,0.0,11935213.027021436,5477462.0,7425319.868430544,6612836.675961638,143040.81005162347,0.0,164534.6124265117,103371397.91957213,715306657.2938647,708664050.258117,1308.0
2049,12449089.807767343,0.0,12449089.807767343,5006433.0,7771221.195359784,6627033.063915515,1368.0,0.0,143040.81005162347,103535932.53199807,0.0,0.0,1368.0
2050,133571.33843532213,0.0,133571.33843532213,4470746.0,8282586.047224061,6651120.574614781,2166.2624235757803,0.0,1368.0,103678973.34205014,9134609.05681115,5096312.117878825,1147.0
2051,204113.22680213826,0.0,204113.22680213826,4076895.0,8644458.628837839,6681854.9724254785,1133.0,0.0,2166.2624235757803,103680341.34205014,0.0,0.0,1133.0
2052,112020.98028722816,0.0,112020.98028722816,3629922.0,9012462.399390679,6760622.209409958,1238.6962699696537,0.0,1133.0,103682507.60447344,159465.91686478164,83481.34984825936,1222.0
2053,113580.70522990862,0.0,113580.7052299086,3331938.0,9279090.563895939,6791728.349536346,1879.8369840741518,0.0,1238.6962699696537,103683640.60447344,6113772.5860890355,3359184.9203707813,1208.0
2054,193892.7307964397,0.0,193892.7307964397,2889306.0,9695347.048604475,6817158.027843732,3793.904552432444,0.0,1879.8369840741518,103684879.30074343,18406185.05435668,12444522.762162207,1305.0
