years,Objective,Costs,Damages,J,Y,M,I,Redsnag,Greysnag,B_SDDsolutions,control
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,0.0,0.5
2021,356347.0,328165.0,28182.0,22960906.0,14435982.0,4212612.0,4457.0,636.0,0.0,15714024.0,0.5
2022,870986.0,715997.0,154988.0,22444158.0,14552748.0,4608656.0,9474.0,3510.0,636.0,41263884.0,0.65
2023,3164115.0,2865911.0,298204.0,22040105.0,14577571.0,4978873.0,29200.0,6072.0,4145.0,139702145.0,0.35
2024,3285505.0,1969460.0,1316045.0,21428506.0,14792964.0,5346395.0,37610.0,26160.0,10217.0,182242798.0,0.35
2025,4794634.0,3098029.0,1696604.0,20839923.0,14965414.0,5725365.0,59770.0,33693.0,36377.0,293199260.0,0.5
2026,11474904.0,9109908.0,2364996.0,20399820.0,15074761.0,5996849.0,124420.0,47069.0,70070.0,615517221.0,0.8
2027,63288399.0,60451859.0,2836540.0,19902536.0,15104660.0,6340330.0,522248.0,56736.0,117139.0,2605191388.0,0.35
2028,60012492.0,36785906.0,23226586.0,18019521.0,16017001.0,6791828.0,740720.0,467869.0,173875.0,3697595319.0,0.5
2029,119963061.0,91789531.0,28173530.0,17536969.0,15530425.0,7026335.0,1315438.0,583317.0,641744.0,6570439763.0,0.35
2030,150361017.0,94543069.0,55817948.0,16866307.0,14676885.0,7276038.0,1973172.0,1178468.0,1225061.0,9859333065.0,0.5
2031,352334005.0,280680588.0,71653417.0,16310961.0,13188697.0,7465677.0,4195814.0,1553873.0,2403529.0,20973169182.0,0.8
2032,1500616023.0,1415610450.0,85005573.0,15681330.0,10342178.0,7526869.0,13486141.0,1913291.0,3957401.0,67424271003.0,0.8
2033,3094571871.0,2828819272.0,265752599.0,15090554.0,5207410.0,7437489.0,28708463.0,6149680.0,5870693.0,143535930757.0,0.5
2034,1903965085.0,1068955396.0,835009689.0,14442721.0,2306603.0,7213908.0,18788012.0,22607915.0,12020373.0,93934121615.0,0.2
2035,590920982.0,57345940.0,533575042.0,13729775.0,1692769.0,7169457.0,2704491.0,18149220.0,34628288.0,13516086686.0,0.2
2036,65771552.0,4810935.0,60960617.0,13084472.0,1781696.0,7170705.0,228706.0,2612539.0,52777508.0,1137610197.0,0.35
2037,15630996.0,10783515.0,4847480.0,12548687.0,2179819.0,7171793.0,298704.0,204892.0,55390046.0,1487098337.0,0.8
2038,49887084.0,46772268.0,3114816.0,11601256.0,2958013.0,7171905.0,617091.0,136209.0,55594938.0,3079256174.0,0.35
2039,23552381.0,14613005.0,8939376.0,11089616.0,3188825.0,7172297.0,446240.0,552837.0,55731147.0,2224997321.0,0.8
2040,90101705.0,86818687.0,3283018.0,10429502.0,3628594.0,7181772.0,1159175.0,203486.0,56283984.0,5789835530.0,0.35
2041,52332106.0,34441094.0,17891012.0,9741548.0,4038286.0,7182549.0,1054955.0,1038476.0,56487469.0,5268110788.0,0.5
2042,98697456.0,83797737.0,14899719.0,9149056.0,4391349.0,7200050.0,1841707.0,830777.0,57525945.0,9202466157.0,0.2
2043,29984349.0,26639.0,29957710.0,8570086.0,4690077.0,7218528.0,1287.0,1779089.0,58356723.0,0.0,0.5
2044,166016.0,136234.0,29782.0,7952775.0,5302073.0,7223674.0,2706.0,1014.0,60135812.0,7236024.0,0.35
2045,185534.0,118216.0,67318.0,7215806.0,6029716.0,7231411.0,3371.0,2424.0,60136825.0,10331263.0,0.95
2046,1193436.0,1171238.0,22198.0,6599045.0,6636659.0,7238951.0,12491.0,785.0,60139250.0,56671426.0,0.8
2047,3310899.0,3152268.0,158631.0,6078577.0,7141724.0,7242952.0,40755.0,5696.0,60140035.0,197607007.0,0.65
2048,8337084.0,7633913.0,703171.0,5477462.0,7680227.0,7266357.0,123533.0,26119.0,60145731.0,611326111.0,0.5
2049,15466293.0,12902386.0,2563908.0,5006433.0,8018612.0,7281170.0,276013.0,97282.0,60171850.0,1373852498.0,0.2
2050,9248188.0,2368208.0,6879981.0,4470746.0,8272861.0,7302845.0,128467.0,266629.0,60269132.0,636193647.0,0.35
2051,7251901.0,4319382.0,2932519.0,4076895.0,8515755.0,7330491.0,137277.0,115090.0,60535761.0,680097311.0,0.2
2052,4873645.0,1656356.0,3217290.0,3629922.0,8755042.0,7405736.0,93805.0,132610.0,60650852.0,462923076.0,0.5
2053,10121449.0,8375044.0,1746405.0,3331938.0,8935809.0,7430898.0,191989.0,73871.0,60783462.0,953914055.0,0.65
2054,31549804.0,28654107.0,2895697.0,2889306.0,9165172.0,7455146.0,509964.0,123041.0,60857333.0,2543500548.0,0.2
2055,12017396.0,372768.0,11644629.0,2448891.0,9080575.0,7483186.0,21750.0,492625.0,60980374.0,102718553.0,0.95
2056,7247982.0,7127551.0,120431.0,2164771.0,9281652.0,7545576.0,88543.0,5065.0,61472999.0,436110867.0,0.35
2057,5287551.0,3406853.0,1880697.0,1846543.0,9483471.0,7574606.0,116115.0,79324.0,61478064.0,574231801.0,0.65
2058,23230880.0,21468766.0,1762114.0,1527763.0,9644169.0,7617852.0,398641.0,74415.0,61557387.0,1987483734.0,0.5
2059,38728672.0,31328429.0,7400243.0,1229209.0,9519151.0,7649941.0,761316.0,313930.0,61631803.0,3800396371.0,0.5
2060,84951516.0,70655326.0,14296191.0,846380.0,9127129.0,7695448.0,1721543.0,599537.0,61945732.0,8601455151.0,0.5
2061,164524892.0,131422370.0,33102523.0,626204.0,7848739.0,7722336.0,3212927.0,1355715.0,62545269.0,16058430163.0,0.35
2062,195275392.0,123536436.0,71738955.0,547321.0,5803653.0,7753348.0,4338138.0,2878381.0,63900984.0,21684491967.0,0.65
2063,469953800.0,399724596.0,70229204.0,431669.0,3816544.0,7751712.0,7705889.0,2780204.0,66779365.0,38523654995.0,0.65
2064,722912368.0,601632416.0,121279952.0,314873.0,1906137.0,7714703.0,11831126.0,4938512.0,69559570.0,59150011700.0,0.8
2065,963861993.0,835281906.0,128580086.0,263665.0,704617.0,7641070.0,12576688.0,5394994.0,74498081.0,62877755156.0,0.2
2066,362905306.0,10884297.0,352021010.0,205987.0,363593.0,7535608.0,604307.0,12149081.0,79893075.0,3015476042.0,0.2
2067,21144039.0,18682.0,21125356.0,179049.0,350993.0,7540652.0,1268.0,583761.0,92042155.0,0.0,0.2
2068,46195.0,19576.0,26619.0,135751.0,384564.0,7550326.0,1355.0,1225.0,92625916.0,68318.0,0.2
2069,44762.0,17139.0,27623.0,85850.0,426783.0,7557935.0,1245.0,1309.0,92627141.0,339519.0,0.5
2070,80088.0,61830.0,18258.0,54515.0,445006.0,7570935.0,1809.0,980.0,92628450.0,2691677.0,0.65
2071,129238.0,107397.0,21841.0,24746.0,469485.0,7575654.0,2373.0,1160.0,92629430.0,5109342.0,0.35
2072,90888.0,46927.0,43962.0,19162.0,471899.0,7577788.0,2033.0,2126.0,92630590.0,4307269.0,0.65
2073,186944.0,163606.0,23338.0,16360.0,466720.0,7584842.0,3775.0,1303.0,92632715.0,13139137.0,0.8
2074,535460.0,502355.0,33105.0,7625.0,465072.0,7592659.0,9911.0,1721.0,92634019.0,43134929.0,0.8
2075,1534098.0,1458222.0,75876.0,2559.0,450375.0,7604483.0,27971.0,4519.0,92635740.0,133420223.0,0.35
