years,Objective,Costs,Damages,J,Y,M,I,Redsnag,Greysnag,B,B_SDD,I_LDD
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,4035000.0,4035000.0,1269.0
2021,55890.34757838252,0.0,55890.34757838253,22960906.0,14435982.0,4212612.0,2805.77800406543,807.0,0.0,8222869.4165914105,7878890.020327107,1230.0
2022,199778.6348628568,0.0,199778.63486285682,22444158.0,14554281.84255378,4608711.379442122,7631.54824458187,2805.77800406543,807.0,32645878.778122257,31997741.222909614,1232.0
2023,604546.2449756789,0.0,604546.244975679,22040105.0,14580863.476963086,4978989.196788197,6478.833510901471,7631.54824458187,3612.7780040654225,25971848.74882921,25744167.554507278,1330.0
2024,501241.1824842921,0.0,501241.1824842921,21428506.0,14818438.385817494,5347043.454422975,18661.323447303275,6478.833510901471,11244.326248647345,88842939.72076589,87501617.23651648,1161.0
2025,1500999.6956558821,0.0,1500999.6956558817,20839923.0,15008889.17716677,5726956.339683057,65068.80765378791,18661.323447303275,17723.159759548846,320302918.9297252,318629038.2689377,1343.0
2026,5283329.653961993,0.0,5283329.653961992,20399820.0,15112450.083568256,5998953.826877456,298931.32602303266,65068.80765378791,36384.48320685212,1492448319.0897224,1488596630.115152,1212.0
2027,24271412.349073272,0.0,24271412.349073272,19902536.0,14973534.248035941,6336940.123197073,303945.45530340774,298931.32602303266,101453.29086063954,1516295121.4733262,1512812276.5170302,1383.0
2028,24370664.242988672,0.0,24370664.242988672,18019521.0,16104470.498205781,6786050.428643006,900521.1121590628,303945.45530340774,400384.6168836704,4522153512.8177395,4496760560.795291,1169.0
2029,69987254.81004386,0.0,69987254.81004386,17536969.0,15458780.429177275,7018810.328650082,2640197.5841713697,900521.1121590628,704330.0721870793,13346120492.10074,13195267920.856928,1144.0
2030,200818971.20449337,0.0,200818971.20449337,16866307.0,13402445.89871411,7208611.605110883,8406429.05765893,2640197.5841713697,1604851.1843461392,44272879614.43969,42026100288.29491,1209.0
2031,610284256.8408549,0.0,610284256.8408549,16310961.0,8246310.24064428,7238584.857665706,17694020.580475297,8406429.05765893,4245048.7685175035,122517395675.69817,88463927902.37648,1235.0
2032,1177661313.564903,0.0,1177661313.564903,15681330.0,3842297.1813615575,7046977.033637781,2060451.9747672635,17694020.580475297,12651477.826176481,27030846154.157223,10295719873.836245,1308.0
2033,107249962.22888155,0.0,107249962.22888155,15090554.0,3345626.577904186,7038598.05608273,2297313.4050391326,2060451.9747672635,30345498.406651583,18498869688.29725,11480737025.195742,1166.0
2034,112559155.87502158,0.0,112559155.87502158,14442721.0,2796511.5643630163,7031971.028730068,6157224.314053752,2297313.4050391326,32405950.381419107,50390346642.52263,30779316570.268578,1361.0
2035,259938674.95670292,0.0,259938674.95670292,13729775.0,2083988.5148707076,7017404.54246807,2856197.814105156,6157224.314053752,34703263.78645804,33710078082.969482,14274659070.525843,1266.0
2036,98556053.35995175,0.0,98556053.35995175,13084472.0,2118196.729752046,7018918.624895407,5776467.6689478,2856197.814105156,40860488.10051175,58744064447.25764,28876228344.738976,1222.0
2037,216188999.7308931,0.0,216188999.73089314,12548687.0,2082895.8225830377,7020635.951427529,8208963.52545094,5776467.6689478,43716685.91461683,93745223999.92978,41038942627.254684,1175.0
2038,330761138.3073047,0.0,330761138.3073047,11601256.0,2673708.138220477,6968911.536786062,2373241.2039702404,8208963.52545094,49493153.583564766,23829241041.045895,11859541019.85113,1333.0
2039,77606036.78087302,0.0,77606036.780873,11089616.0,2915587.3449564492,6970574.536786062,2949681.5892988862,2373241.2039702404,57702117.109015845,26781567370.03611,14742502946.494452,1181.0
2040,75035619.09579809,0.0,75035619.09579809,10429502.0,3377548.598814174,6980773.209825208,3738339.3630700023,2949681.5892988862,60075358.31298621,31676726568.260468,18685366815.349987,1266.0
2041,151564832.79136536,0.0,151564832.79136539,9741548.0,3884133.6436692392,6981391.795567125,8240487.32089949,3738339.3630700023,63025039.90228467,44770722332.594475,41195906604.49732,1306.0
2042,192775972.9983363,0.0,192775972.9983363,9149056.0,4230172.347331991,6996738.260861006,18452143.37864052,8240487.32089949,66763379.265354656,181556000239.20023,92254061893.20265,1331.0
2043,428394995.5179045,0.0,428394995.5179045,8570086.0,4519691.575999532,7013343.52269474,1257.0,18452143.37864052,75003866.58625416,0.0,0.0,1257.0
2044,52559.46956805557,0.0,52559.46956805557,7952775.0,5130035.782837057,7020152.315857191,3056.4267319068413,1257.0,93456009.96489498,17990927.696982354,8787133.659534222,1299.0
2045,130686.8462142402,0.0,130686.84621424023,7215806.0,5856684.6172492495,7028535.561580981,8442.146931177938,3056.4267319068413,93457266.96489498,53917767.767541304,35965734.655889586,1249.0
2046,340177.3903900494,0.0,340177.3903900493,6599045.0,6458801.744879485,7035811.012210443,11261.312985675204,8442.146931177938,93460323.39162661,56076490.840405725,49826564.928376056,1296.0
2047,442230.3496006096,0.0,442230.3496006096,6078577.0,6964825.121712663,7040122.32992229,1254.0,11261.312985675204,93468765.53855765,0.0,0.0,1254.0
